date,team_1,team_2,venue,toss_winner,toss_decision,winner,target
2012-02-23,Kenya,Ireland,Mombasa Sports Club Ground,Kenya,bat,Ireland,0
2012-02-23,England,Pakistan,Dubai International Cricket Stadium,England,field,Pakistan,0
2012-02-24,Kenya,Ireland,Mombasa Sports Club Ground,Ireland,bat,Ireland,0
2012-02-25,England,Pakistan,Dubai International Cricket Stadium,England,bat,England,1
2012-02-27,England,Pakistan,Sheikh Zayed Stadium,England,bat,England,1
2012-03-13,Canada,Netherlands,Dubai International Cricket Stadium,Netherlands,bat,Netherlands,0
2012-03-14,Ireland,Kenya,Dubai International Cricket Stadium,Kenya,bat,Ireland,1
2012-03-18,Ireland,Scotland,Dubai International Cricket Stadium,Ireland,bat,Ireland,1
2012-03-22,Canada,Ireland,Dubai International Cricket Stadium,Canada,bat,Ireland,0
2012-03-23,Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,field,Ireland,1
2012-03-23,Canada,Scotland,Dubai International Cricket Stadium,Canada,bat,Scotland,0
2012-03-27,West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,bat,Australia,0
2012-03-30,South Africa,India,New Wanderers Stadium,India,field,South Africa,1
2012-03-30,West Indies,Australia,"Kensington Oval, Bridgetown",West Indies,bat,West Indies,1
2012-06-01,Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,bat,Sri Lanka,1
2012-06-03,Sri Lanka,Pakistan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Pakistan,bat,Pakistan,0
2012-06-24,England,West Indies,Trent Bridge,West Indies,bat,England,1
2012-06-30,New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,New Zealand,field,West Indies,0
2012-07-01,New Zealand,West Indies,Central Broward Regional Park Stadium Turf Ground,West Indies,bat,West Indies,0
2012-07-18,Ireland,Bangladesh,"Civil Service Cricket Club, Stormont",Ireland,field,Bangladesh,0
2012-07-25,Netherlands,Bangladesh,Sportpark Westvliet,Netherlands,bat,Bangladesh,0
2012-07-26,Netherlands,Bangladesh,Sportpark Westvliet,Bangladesh,bat,Netherlands,1
2012-08-07,Sri Lanka,India,Pallekele International Cricket Stadium,Sri Lanka,field,India,0
2012-09-05,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Pakistan,0
2012-09-08,England,South Africa,Riverside Ground,South Africa,field,South Africa,0
2012-09-10,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Australia,1
