date,team_1,team_2,venue,toss_winner,toss_decision,winner,target,bat_first_won,team1_last6_wins,team2_last6_wins,team1_h2h_last10,team2_h2h_last10,venue_bat_first_win_rate,team1_elo,team2_elo
2010-05-07,Australia,India,"Kensington Oval, Bridgetown",India,field,Australia,1,1,6,2,1,2,0.5,1095.5626800403195,1034.816770698339
2010-05-08,New Zealand,Pakistan,"Kensington Oval, Bridgetown",Pakistan,field,New Zealand,1,1,3,2,0,4,0.6666666666666666,1017.5240430740613,1101.1295041188464
2010-05-08,England,South Africa,"Kensington Oval, Bridgetown",England,bat,England,1,1,3,3,1,3,0.6666666666666666,1001.702477816995,1088.148915232828
2010-05-09,West Indies,India,"Kensington Oval, Bridgetown",India,field,West Indies,1,1,2,2,1,0,0.75,982.2246935043617,1018.2783849668376
2010-05-09,Australia,Sri Lanka,"Kensington Oval, Bridgetown",Australia,bat,Australia,1,1,6,3,1,1,0.75,1112.101065771821,1048.8042738482568
2010-05-10,Pakistan,South Africa,"Beausejour Stadium, Gros Islet",Pakistan,bat,Pakistan,1,1,2,2,1,0,0.5,1076.4075789947965,1063.2728672818312
2010-05-10,England,New Zealand,"Beausejour Stadium, Gros Islet",New Zealand,bat,England,1,0,3,4,3,1,0.5,1026.5785257679918,1042.245968198111
2010-05-11,India,Sri Lanka,"Beausejour Stadium, Gros Islet",India,bat,Sri Lanka,0,0,2,3,2,1,0.8,996.2103853412387,1032.4081464947324
2010-05-11,West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,bat,Australia,0,0,3,6,2,2,0.8,1004.2926931299605,1128.4971931253453
2010-05-13,England,Sri Lanka,"Beausejour Stadium, Gros Islet",Sri Lanka,bat,England,1,0,4,3,0,1,0.5714285714285714,1047.4798054131927,1050.3319425717782
2010-05-14,Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,field,Australia,1,0,6,3,2,2,0.5,1141.637180795448,1095.651844207348
2010-05-16,Australia,England,"Kensington Oval, Bridgetown",England,field,England,0,0,6,4,2,1,0.8,1159.0054021458818,1067.6439839378531
2010-05-19,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,field,South Africa,0,1,3,2,1,3,0.5,991.1527054598577,1044.0286020692797
2010-05-20,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,field,South Africa,0,1,3,3,1,4,0.5,974.173202909582,1061.0081046195553
2010-05-22,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,New Zealand,1,1,3,3,4,3,0.5,1021.3446885529102,1030.1677640471178
2010-05-23,New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,bat,Sri Lanka,0,0,4,3,5,3,0.5,1041.8524764530607,1009.6599761469671
2010-06-12,Zimbabwe,India,Harare Sports Club,India,field,India,0,0,2,2,0,0,0.5,977.2821908920022,978.2865892641928
2010-06-13,Zimbabwe,India,Harare Sports Club,India,field,India,0,0,2,3,0,1,0.5,957.3400085489176,998.2287716072774
2010-07-05,Australia,Pakistan,Edgbaston,Pakistan,bat,Pakistan,0,1,5,2,3,2,0.5,1133.86417462598,1078.2836228569142
2010-07-06,Australia,Pakistan,Edgbaston,Pakistan,bat,Pakistan,0,1,4,2,3,3,0.5,1110.6917175476835,1101.4560799352107
2010-09-05,England,Pakistan,Sophia Gardens,England,field,England,1,0,5,3,3,2,0.5,1092.785211457755,1121.987600784174
2010-09-07,England,Pakistan,Sophia Gardens,Pakistan,bat,England,1,0,6,3,4,2,0.5,1114.462288676398,1100.310523565531
